(Hip-Hop) WJMS Radio, https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://us1.internet-radio.com:8295/listen.pls&t=.pls
(Hip-Hop/Trap/Dubstep) PVR, https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://www.partyviberadio.com:8016/listen.pls?sid=2&t=.pls
(Hip-Hop) RRomanian, https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://89.39.189.61:8400/listen.pls?sid=1&t=.pls
(Hip-Hop) RauteMusik, https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://95.141.24.38:80/listen.pls&t=.pls
(Hip-Hop) 181.FM OldSchool, https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://108.61.73.119:8068/listen.pls&t=.pls
(Hip-Hop) BeatBasement, https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://208.85.242.69:9622/listen.pls&t=.pls
(Dance) Dance UK Radio, https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://uk2.internet-radio.com:30252/listen.pls&t=.pls
(Dance) Eye of Destiny, https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://uk3.internet-radio.com:8039/listen.pls&t=.pls
(DnB) UndergroundFM, https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://uk1.internet-radio.com:8093/listen.pls&t=.pls
(DnB) PVR, https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://www.partyviberadio.com:8004/listen.pls?sid=1&t=.pls
(DnB) Future Pressure Radio, https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://uk3.internet-radio.com:8108/listen.pls&t=.pls
(DnB) BassDrive, https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://69.93.119.200:9000/listen.pls&t=.pls
(DnB) DnB Heaven, https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://dnbheaven.com:8000/listen.pls&t=.pls
(DnB) Bass Junkies, https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://space.ducks.invasion.started.at.bassjunkees.com:8442/listen.pls&t=.pls
(DnB/Trap/Rap) RauteMusik, https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://95.141.24.54:80/listen.pls&t=.pls
(House) RadioSeven, https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://188.65.152.205:8500/listen.pls&t=.pls
(House) RauteMusik, https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://95.141.24.4:80/listen.pls&t=.pls
